Classifier,Subject,Accuracy,Precision,Recall,F1-score,Kappa
CSP+LDA,1,64.1%,78.1%,64.1%,58.9%,0.281
CSP+SVM,1,67.8%,76.9%,67.8%,64.8%,0.356
CSP+LDA,2,54.3%,54.4%,54.3%,54.1%,0.086
CSP+SVM,2,55.0%,55.2%,55.0%,54.6%,0.100
CSP+LDA,3,53.8%,54.1%,53.8%,52.7%,0.075
CSP+SVM,3,55.6%,58.8%,55.6%,51.2%,0.113
CSP+LDA,4,91.6%,91.6%,91.6%,91.6%,0.831
CSP+SVM,4,90.9%,91.0%,90.9%,90.9%,0.819
CSP+LDA,5,68.4%,73.3%,68.4%,66.7%,0.369
CSP+SVM,5,70.9%,74.8%,70.9%,69.8%,0.419
CSP+LDA,6,77.8%,81.9%,77.8%,77.1%,0.556
CSP+SVM,6,79.7%,81.0%,79.7%,79.5%,0.594
CSP+LDA,7,68.8%,72.1%,68.8%,67.5%,0.375
CSP+SVM,7,70.9%,72.7%,70.9%,70.4%,0.419
CSP+LDA,8,81.6%,82.4%,81.6%,81.4%,0.631
CSP+SVM,8,83.1%,83.1%,83.1%,83.1%,0.662
CSP+LDA,9,78.4%,79.7%,78.4%,78.2%,0.569
CSP+SVM,9,78.4%,79.3%,78.4%,78.3%,0.569
